site_index,city_site,city,site,season,Long,Lat,CRS,rich_obs_site,K_days,Impervious,pd_undev,cropland,Kdays_std,imperv_std,pd_undev_std,cropland_std,rich_mean,rich_med,rich_sd,rich_2_5,rich_97_5,rich_5,rich_95,hill1_mean,hill1_med,hill1_sd,hill1_2_5,hill1_97_5,hill1_5,hill1_95,city_name,state_prov,survey_yr,rich_known_reg,rich_obs_reg,x_cent,y_cent,EVI_av,mat_av,urb_reg,date_col,date_col_n,yrs_col,EVI_av_std,mat_av_std,urb_reg_std,yrs_col_std,,,,,,,,,,,,,,,,,,,,,,,,
35,autx_AUTX-WL9-REI,autx,AUTX-WL9-REI,JU18,-164977.7775,807171.2271,AEA_Custom_NLCD2016,1,35,65.76109997,0,0,0.82333911,1.314851517,-1.349167164,-0.716349154,2.6471,3,1.040994696,1,5,1,4,5.712134618,5.675794092,0.781621814,4.331949254,7.379800103,4.517330909,7.062288616,Austin,TX,2018,21,9,-167455.5366,799018.275,0.270699579,19.96934785,0.631882001,1835,,183,0.607798781,1.509053387,0.46781768,-0.258841159,,,,,,,,,,,,,,,,,,,,,,,,
36,autx_AUTX_BRDP,autx,AUTX_BRDP,JU18,-160713.2638,799355.9302,AEA_Custom_NLCD2016,2,27,27.50458453,5.096839959,0.082855505,-0.138765019,-0.96413795,0.626651847,2.627678779,3.8424,4,1.164172569,2,6,2,6,6.834255317,6.827483545,0.867089724,5.174152065,8.558511324,5.432344169,8.279097709,Austin,TX,2018,21,9,-167455.5366,799018.275,0.270699579,19.96934785,0.631882001,1835,,183,0.607798781,1.509053387,0.46781768,-0.258841159,,,,,,,,,,,,,,,,,,,,,,,,
37,autx_AUTX_BRP,autx,AUTX_BRP,JU18,-177319.3288,789524.9212,AEA_Custom_NLCD2016,2,35,21.21925287,3.824823102,0,0.82333911,-1.338563182,0.133547274,-0.716349154,4.774,5,1.253347952,3,7,3,7,7.995212791,7.968019244,0.646089619,6.789049754,9.355592927,6.984519881,9.109548084,Austin,TX,2018,21,9,-167455.5366,799018.275,0.270699579,19.96934785,0.631882001,1835,,183,0.607798781,1.509053387,0.46781768,-0.258841159,,,,,,,,,,,,,,,,,,,,,,,,
38,autx_AUTX_CRWS,autx,AUTX_CRWS,JU18,-162861.1008,798271.0452,AEA_Custom_NLCD2016,3,15,32.04899713,2.546229988,0.042967631,-1.581921211,-0.693421489,-0.362106621,1.017813943,4.5151,4,1.018369136,3,7,3,6,7.333419869,7.319969512,0.659002666,6.060118147,8.656714259,6.268484135,8.429207285,Austin,TX,2018,21,9,-167455.5366,799018.275,0.270699579,19.96934785,0.631882001,1835,,183,0.607798781,1.509053387,0.46781768,-0.258841159,,,,,,,,,,,,,,,,,,,,,,,,
39,autx_AUTX_DNP,autx,AUTX_DNP,JU18,-168227.9912,801254.9479,AEA_Custom_NLCD2016,3,35,65.9704193,1.593676292,0.006024096,0.82333911,1.327320937,-0.731369482,-0.473218095,3.6488,4,0.748942355,3,5,3,5,5.753221929,5.712824882,0.754583743,4.415268309,7.382396745,4.600010799,7.049346381,Austin,TX,2018,21,9,-167455.5366,799018.275,0.270699579,19.96934785,0.631882001,1835,,183,0.607798781,1.509053387,0.46781768,-0.258841159,,,,,,,,,,,,,,,,,,,,,,,,
40,autx_AUTX_GVP,autx,AUTX_GVP,JU18,-162272.0931,799722.2953,AEA_Custom_NLCD2016,6,29,36.22355976,3.818251241,0.01231386,0.101761014,-0.444737464,0.130999655,-0.219364761,6.8078,7,0.759945335,6,8,6,8,7.678207083,7.668540741,0.561213074,6.613865998,8.815275579,6.780195101,8.620493952,Austin,TX,2018,21,9,-167455.5366,799018.275,0.270699579,19.96934785,0.631882001,1835,,183,0.607798781,1.509053387,0.46781768,-0.258841159,,,,,,,,,,,,,,,,,,,,,,,,
41,autx_AUTX_MFBCP,autx,AUTX_MFBCP,JU18,-169484.5987,802224.2694,AEA_Custom_NLCD2016,1,35,45.92239404,2.543315848,0,0.82333911,0.133034477,-0.363236304,-0.716349154,3.2585,3,1.154820813,1,6,1,5,7.098598933,7.101552397,0.64444038,5.877450144,8.404316147,6.05610514,8.165171732,Austin,TX,2018,21,9,-167455.5366,799018.275,0.270699579,19.96934785,0.631882001,1835,,183,0.607798781,1.509053387,0.46781768,-0.258841159,,,,,,,,,,,,,,,,,,,,,,,,
42,autx_AUTX_SONP,autx,AUTX_SONP,JU18,-179416.821,788915.5947,AEA_Custom_NLCD2016,5,15,19.47205503,8.929710422,0,-1.581921211,-1.442645988,2.112485891,-0.716349154,6.4582,6,0.995365177,5,8,5,8,7.942128075,7.924878993,0.744007389,6.544670756,9.497205271,6.754477838,9.220238969,Austin,TX,2018,21,9,-167455.5366,799018.275,0.270699579,19.96934785,0.631882001,1835,,183,0.607798781,1.509053387,0.46781768,-0.258841159,,,,,,,,,,,,,,,,,,,,,,,,
43,autx_AUTX_WBCG,autx,AUTX_WBCG,JU18,-168946.2125,799399.7684,AEA_Custom_NLCD2016,1,28,48.1661397,2.863688431,0.031500573,-0.018502002,0.26669727,-0.23904205,0.55500627,3.0548,3,1.117462229,1,5,1,5,6.741772046,6.725655606,0.64332149,5.544403053,8.067618833,5.72830392,7.821269665,Austin,TX,2018,21,9,-167455.5366,799018.275,0.270699579,19.96934785,0.631882001,1835,,183,0.607798781,1.509053387,0.46781768,-0.258841159,,,,,,,,,,,,,,,,,,,,,,,,
44,chil_C04-MBP1,chil,C04-MBP1,JU19,695159.7451,2109652.274,AEA_Custom_NLCD2016,3,29,51.07247207,1.272021879,0,0.451485278,0.182577694,-0.203897453,-0.459972265,4.6535,5,0.980374349,3,7,3,6,7.577038512,7.56949123,0.294768096,7.007462157,8.159496825,7.094637735,8.061568543,Chicago,IL,2019,21,12,670625.3265,2126072.517,0.203738435,9.802253638,0.809068625,1780,,239,-0.59534849,-0.59714277,1.43752321,0.818354659,,,,,,,,,,,,,,,,,,,,,,,,
